particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
31,132,272,1599.875,24.0875244140625,481.82715,1618.7377,5.0,27.777092,0.010377165,0.04999204484881159,0.0003899999999703141,1600.776,1600.77795,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
31,134,268,1599.8906,2499.884033203125,83.374596,83.374596,3.4343112,3.4343112,0.09595009,245086.9674496028,0.0,1600.79285,1600.79285,1600.79285,512.0086669921875,2407436.0149272773,10515147.860625861,POINT (2407436.0149272773 10515147.860625861)
32,132,271,1599.875,48.272705078125,390.9551,715.94366,7.0524664,16.277605,0.018421914,0.25555895656314587,0.0006721890746282024,1600.77795,1600.78015,1600.77795,511.6363525390625,2407451.0149272773,10515137.860625861,POINT (2407451.0149272773 10515137.860625861)
32,132,272,1599.875,24.0875244140625,481.8272,1197.7709,5.201797,21.4794,0.01079598,0.04999203851610101,0.00037487045278002427,1600.776,1600.77795,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
32,133,270,1599.875,48.492431640625,237.57831,324.98856,5.936833,9.225139,0.03113119,0.8078519687296601,0.002430892547914421,1600.78235,1600.785765,1600.78235,511.7462158203125,2407446.0149272773,10515142.860625861,POINT (2407446.0149272773 10515142.860625861)
32,134,269,1599.8594,2490.545654296875,87.41023,87.41023,3.2883055,3.2883055,0.07125709,244171.42515086534,0.0,1600.78918,1600.78918,1600.78918,511.9171142578125,2407441.0149272773,10515147.860625861,POINT (2407441.0149272773 10515147.860625861)
33,132,272,1599.875,48.175048828125,393.26077,817.503,6.1552844,15.392823,0.015145408,0.2523001824427431,0.000527612015658417,1600.776,1600.7782000000002,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
33,133,271,1599.875,48.394775390625,303.6975,424.24222,5.9677343,9.237538,0.019220874,0.6455403484828426,0.0021705381079908884,1600.7804,1600.78217,1600.7804,511.6973876953125,2407451.0149272773,10515142.860625861,POINT (2407451.0149272773 10515142.860625861)
33,134,270,1599.8438,2477.16064453125,120.54468,120.54468,3.269804,3.269804,0.057178803,242859.08987270357,0.0,1600.7839400000003,1600.78394,1600.7839400000003,511.785888671875,2407446.0149272773,10515147.860625861,POINT (2407446.0149272773 10515147.860625861)
34,134,271,1599.8438,2471.5576171875,89.74763,89.74763,2.8892303,2.8892303,0.053712808,242309.84334537893,0.0,1600.78174,1600.7817399999997,1600.78174,511.73095703125,2407451.0149272773,10515147.860625861,POINT (2407451.0149272773 10515147.860625861)
34,134,272,1599.9688,24.1455078125,356.85266,446.60028,5.102604,7.991834,0.014298909,0.0676624008795428,0.0006702460270775936,1600.77832,1600.78174,1600.77832,511.6455078125,2407456.0149272773,10515147.860625861,POINT (2407456.0149272773 10515147.860625861)
35,133,275,1600.0,24.017333984375,1700.8604,7653.9663,5.001562,18.746603,0.0029406073,0.014120697188520746,0.00019593878403882566,1600.77319,1600.77417,1600.77319,511.517333984375,2407471.0149272773,10515142.860625861,POINT (2407471.0149272773 10515142.860625861)
35,134,272,1599.8906,2462.841796875,172.02054,172.02054,2.585806,2.585806,0.081967026,241455.21931055168,0.0,1600.77832,1600.77832,1600.77832,511.6455078125,2407456.0149272773,10515147.860625861,POINT (2407456.0149272773 10515147.860625861)
35,134,273,1600.3438,24.10888671875,516.8303,688.8509,5.0240393,7.609845,0.0097208675,0.046647585639062475,0.0002906028241275236,1600.77686,1600.77832,1600.77686,511.60888671875,2407461.0149272773,10515147.860625861,POINT (2407461.0149272773 10515147.860625861)
38,131,266,1600.4375,48.66943359375,2851.1963,3727.592,9.809048,33.62353,0.024731724,0.2407170786908408,0.0004992005277075033,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
38,132,266,1600.1562,24.4598388671875,1.40625,876.39557,0.6658191,23.814482,0.47347137,17.393663194444443,0.03759279311902612,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
38,133,265,1600.1875,50.1708984375,511.22925,874.9893,7.409978,23.148663,0.3599979,40.01995341283866,0.019140445142129845,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
38,134,264,1600.25,51.019287109375,245.2904,363.76007,7.930186,15.738686,0.12767935,3.712058239423302,0.012133233972596712,1600.83289,1600.8525399999999,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
38,135,262,1600.3438,2728.363037109375,58.463833,58.463833,2.7596617,2.7596617,0.16502494,267487.0377532374,0.0,1600.88245,1600.88245,1600.88245,514.2486572265625,2407406.0149272773,10515152.860625861,POINT (2407406.0149272773 10515152.860625861)
38,135,263,1600.625,26.4923095703125,60.005817,118.46965,5.048838,7.8085,0.084139146,0.4414956867903166,0.0020321507084205296,1600.87219,1600.88245,1600.87219,513.9923095703125,2407411.0149272773,10515152.860625861,POINT (2407411.0149272773 10515152.860625861)
