particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
151,10725.0,0.0,1e+30,1e+30,1600.1562,14026.821,92.89858,60.58563,0.0,0.0,5.0,5.0,0.5
152,8775.0,0.0,1e+30,1e+30,1600.25,16407.566,87.74623,7.7031,0.0,0.0,5.0,5.0,0.5
153,9262.5,0.0,1e+30,1e+30,1600.1562,15447.483,82.76235,41.799984,0.0,0.0,5.0,5.0,0.5
154,9750.0,0.0,1e+30,1e+30,1600.1562,11654.474,77.91139,53.961952,0.0,0.0,5.0,5.0,0.5
155,11212.5,0.0,1e+30,1e+30,1599.875,1040.7075,77.35646,0.16527452,0.0,0.0,5.0,5.0,0.5
156,12187.5,0.0,1e+30,1e+30,1599.875,2407.2524,87.83331,0.14497513,0.0,0.0,5.0,5.0,0.5
157,8775.0,0.0,1e+30,1e+30,1599.9688,45606.277,80.80096,7.0236516,0.0,0.0,5.0,5.0,0.5
158,3412.5,0.0,-4.285714285714286e+29,-1.4285714285714285e+29,1600.4844,8699.932,21.293724,0.018381642,0.0,-1.341776971038196e+28,5.0,5.0,0.5
159,5362.5,0.0,1.8181818181818183e+29,3.6363636363636366e+29,1600.2188,14288.452,34.609844,0.008385707,0.0,-5.253366086444169e+27,5.0,5.0,0.5
160,4875.0,0.0,1.0000000000000001e+29,3.0000000000000003e+29,1600.2031,11246.003,30.024042,0.0069658062,0.0,-6.661328249449139e+27,5.0,5.0,0.5
161,17550.0,0.0,5.416666666666667e+29,5.833333333333334e+29,1600.1562,16555.707,143.24374,0.104657054,0.0,-2.90879486484082e+26,5.0,5.0,0.5
162,17062.5,0.0,5.857142857142857e+29,6.285714285714286e+29,1600.1562,15138.695,137.90242,0.10729137,0.0,-3.107787582225579e+26,5.0,5.0,0.5
163,16087.5,0.0,6.81818181818182e+29,7.272727272727273e+29,1600.1562,7030.4634,125.12327,0.11625268,0.0,-3.632781187288739e+26,5.0,5.0,0.5
164,15600.0,0.0,7.031250000000001e+29,7.500000000000001e+29,1600.1562,5411.3413,119.38125,0.119558476,0.0,-3.92649604516084e+26,5.0,5.0,0.5
165,14625.0,0.0,7.666666666666666e+29,8.333333333333334e+29,1599.9688,3689.9104,114.44734,0.1337226,0.0,-5.8250952402094156e+26,5.0,5.0,0.5
166,14625.0,0.0,8.333333333333334e+29,8.999999999999999e+29,1599.9688,2831.9062,109.76092,0.13598791,0.0,-6.073807333772941e+26,5.0,5.0,0.5
167,13650.0,0.0,9.285714285714285e+29,9.642857142857142e+29,1599.9688,1820.201,104.42601,0.17399171,0.0,-3.4200565231973365e+26,5.0,5.0,0.5
168,13162.5,0.0,9.999999999999999e+29,9.999999999999999e+29,1600.1406,1389.8378,98.500015,0.14138685,0.0,0.0,5.0,5.0,0.5
