nlay,nrow,ncol,elevation
0,158,245,1601.263427734375
0,158,246,1601.2623291015625
0,158,247,1601.2606201171875
0,158,248,1601.259765625
0,158,249,1601.2586669921875
0,158,250,1601.258056640625
0,159,233,1601.313232421875
0,159,234,1601.310791015625
0,159,235,1601.30859375
0,159,236,1601.3035888671875
0,159,237,1601.3006591796875
0,159,238,1601.294921875
0,159,239,1601.2919921875
0,159,240,1601.286376953125
0,159,241,1601.28076171875
0,159,242,1601.2781982421875
0,159,243,1601.2734375
0,159,244,1601.27099609375
0,159,245,1601.2672119140625
0,159,246,1601.265625
0,159,247,1601.2633056640625
0,159,248,1601.262451171875
0,159,249,1601.2607421875
0,159,250,1601.2601318359375
0,160,233,1601.3172607421875
0,160,234,1601.3167724609375
0,160,235,1601.3138427734375
0,160,236,1601.30908203125
0,160,237,1601.306396484375
0,160,238,1601.30078125
0,160,239,1601.297607421875
0,160,240,1601.29150390625
0,160,241,1601.28515625
0,160,242,1601.2822265625
0,160,243,1601.27685546875
0,160,244,1601.2740478515625
0,160,245,1601.26953125
0,160,246,1601.2677001953125
0,160,247,1601.2647705078125
0,160,248,1601.2635498046875
0,160,249,1601.2618408203125
0,160,250,1601.26123046875
0,161,233,1601.32861328125
0,161,234,1601.3272705078125
0,161,235,1601.3255615234375
0,161,236,1601.320068359375
0,161,237,1601.3177490234375
0,161,238,1601.312255859375
0,161,239,1601.30908203125
0,161,240,1601.3028564453125
0,161,241,1601.2957763671875
0,161,242,1601.292236328125
0,161,243,1601.285400390625
0,161,244,1601.2821044921875
0,161,245,1601.2760009765625
0,161,246,1601.273193359375
0,161,247,1601.2686767578125
0,161,248,1601.2667236328125
0,161,249,1601.2640380859375
0,162,232,1601.3370361328125
0,162,233,1601.3350830078125
0,162,234,1601.331787109375
0,162,235,1601.3299560546875
0,162,236,1601.3258056640625
0,162,237,1601.323486328125
0,162,238,1601.3179931640625
0,162,239,1601.31494140625
0,162,240,1601.3084716796875
0,162,241,1601.3013916015625
0,162,242,1601.2977294921875
0,162,243,1601.2900390625
0,162,244,1601.28662109375
0,162,245,1601.2796630859375
0,162,246,1601.276611328125
0,162,247,1601.2711181640625
0,162,248,1601.2686767578125
0,163,232,1601.3475341796875
0,163,233,1601.34619140625
0,163,234,1601.343505859375
0,163,235,1601.341552734375
0,163,236,1601.3372802734375
0,163,237,1601.3348388671875
0,163,238,1601.3294677734375
0,163,239,1601.3262939453125
0,163,240,1601.3197021484375
0,163,241,1601.3126220703125
0,163,242,1601.3087158203125
0,163,243,1601.300537109375
0,163,244,1601.29638671875
0,163,245,1601.288330078125
0,163,246,1601.2845458984375
0,163,247,1601.2777099609375
0,164,232,1601.3538818359375
0,164,233,1601.352783203125
0,164,234,1601.3507080078125
0,164,235,1601.347412109375
0,164,236,1601.3428955078125
0,164,237,1601.340576171875
0,164,238,1601.3349609375
0,164,239,1601.33203125
0,164,240,1601.325439453125
0,164,241,1601.318115234375
0,164,242,1601.31396484375
0,164,243,1601.3056640625
0,164,244,1601.301513671875
0,164,245,1601.292724609375
0,164,246,1601.28857421875
0,165,232,1601.36572265625
0,165,233,1601.3642578125
0,165,234,1601.3607177734375
